Market Segment,Date,Day,Description
CM,26-Jan-2011,Wednesday,Republic Day
CM,02-Mar-2011,Wednesday,Mahashivratri
CM,12-Apr-2011,Tuesday,Ram Navmi
CM,14-Apr-2011,Thursday,Dr. Babasaheb Ambedkar Jayanti
CM,22-Apr-2011,Friday,Good Friday
CM,15-Aug-2011,Monday,Independence Day
CM,31-Aug-2011,Wednesday,Ramzan ID
CM,01-Sep-2011,Thursday,Ganesh Chaturthi
CM,06-Oct-2011,Thursday,Dussera
CM,26-Oct-2011,Wednesday,Diwali (Laxmi Pujan)*
CM,27-Oct-2011,Thursday,Diwali (Balipratipada)
CM,07-Nov-2011,Monday,Bakri Id
CM,10-Nov-2011,Thursday,Gurunanak Jayanti
CM,06-Dec-2011,Tuesday,Moharram
CM,26-Jan-2012,Thursday,Republic Day
CM,20-Feb-2012,Monday,Mahashivratri
CM,08-Mar-2012,Thursday,Holi
CM,05-Apr-2012,Thursday,Mahavir Jayanti
CM,06-Apr-2012,Friday,Good Friday
CM,01-May-2012,Tuesday,May Day
CM,15-Aug-2012,Wednesday,Independence Day
CM,20-Aug-2012,Monday,Ramzan Id
CM,19-Sep-2012,Wednesday,Ganesh Chaturthi
CM,02-Oct-2012,Tuesday,Gandhi Jayanti
CM,24-Oct-2012,Wednesday,Dasara
CM,14-Nov-2012,Wednesday,Diwali-Balipratipada
CM,28-Nov-2012,Wednesday,Gurunanak Jayanti
CM,25-Dec-2012,Tuesday,Christmas
CM,27-Mar-2013,Wednesday,Holi
CM,29-Mar-2013,Friday,Good Friday
CM,19-Apr-2013,Friday,Ram Navmi
CM,24-Apr-2013,Wednesday,Mahavir Jayanti
CM,01-May-2013,Wednesday,May Day
CM,09-Aug-2013,Friday,Ramzan ID
CM,15-Aug-2013,Thursday,Independence Day
CM,09-Sep-2013,Monday,Ganesh Chaturthi
CM,02-Oct-2013,Wednesday,Gandhi Jayanti
CM,16-Oct-2013,Wednesday,Bakri ID
CM,04-Nov-2013,Monday,Diwali-Balipratipada
CM,15-Nov-2013,Friday,Moharram
CM,25-Dec-2013,Wednesday,Christmas
CM,27-Feb-2014,Thursday,Mahashivratri
CM,17-Mar-2014,Monday,Holi
CM,08-Apr-2014,Tuesday,Ram Navmi
CM,14-Apr-2014,Monday,Dr. Babasaheb Ambedkar Jayanti
CM,18-Apr-2014,Friday,Good Friday
CM,24-Apr-2014,Thursday,Parlimentary Elections
CM,01-May-2014,Thursday,May Day
CM,28-May-2014,Wednesday,Index EOD Data Not Available
CM,29-Jul-2014,Tuesday,Ramzan ID
CM,15-Aug-2014,Friday,Independence Day
CM,29-Aug-2014,Friday,Ganesh Chaturthi
CM,17-Sep-2014,Wednesday,Index EOD Data Not Available
CM,02-Oct-2014,Thursday,Mahatma Gandhi Jayanti
CM,03-Oct-2014,Friday,Dasera
CM,06-Oct-2014,Monday,Bakri ID
CM,15-Oct-2014,Wednesday,General Assembly Elections
CM,24-Oct-2014,Friday,Diwali-Balipratipada
CM,04-Nov-2014,Tuesday,Moharram
CM,06-Nov-2014,Thursday,Gurunank Jayanti
CM,10-Dec-2014,Wednesday,Index EOD Data Not Available
